FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Sione Latu,"6' 0""",215 lbs.,,,,http://ufcstats.com/fighter-details/5898357a45a73674
Dan Lauzon,"5' 10""",155 lbs.,,Orthodox,"Mar 30, 1988",http://ufcstats.com/fighter-details/4c8d6fde2dde07c4
Chatt Lavender,"5' 8""",170 lbs.,,,"May 24, 1976",http://ufcstats.com/fighter-details/5449dcccd972ff83
Eric Lawson,"6' 0""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/38e5d9dcb0fddc42
Jerome LeBanner,"6' 3""",265 lbs.,,Southpaw,"Dec 26, 1972",http://ufcstats.com/fighter-details/2d0b10789feafddb
Stephen Ledbetter,"5' 9""",145 lbs.,,Orthodox,"Jun 30, 1982",http://ufcstats.com/fighter-details/56ec58954158966a
James Lee,"5' 11""",205 lbs.,,Southpaw,"Sep 22, 1973",http://ufcstats.com/fighter-details/863d06a7ef8bc98c
David Lee,"5' 10""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/8caca5857ce0e30b
Jackie Lee,,,,,,http://ufcstats.com/fighter-details/4985113c0928aa62
Eun Soo Lee,"6' 1""",215 lbs.,,Orthodox,"Mar 07, 1982",http://ufcstats.com/fighter-details/39c568f8c579913e
Tae Hyun Lee,"6' 6""",295 lbs.,,Orthodox,"Jan 17, 1975",http://ufcstats.com/fighter-details/de99da2c0d18d34a
Tommy Lee,"5' 7""",145 lbs.,,Orthodox,"Jan 20, 1977",http://ufcstats.com/fighter-details/806975e1b4f47b27
Matt Lee,"5' 11""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/d9e3743bae8d703d
Imani Lee,,,,Orthodox,,http://ufcstats.com/fighter-details/0802be3516ef8f66
Rocky Lee,"5' 9""",145 lbs.,,Orthodox,"Apr 08, 1987",http://ufcstats.com/fighter-details/0d1c163b206e8c5f
Ricky Legere Jr.,"5' 8""",170 lbs.,,,,http://ufcstats.com/fighter-details/5817df778cc27274
Sherron Leggett,"5' 8""",155 lbs.,,Southpaw,"Oct 27, 1978",http://ufcstats.com/fighter-details/4f670b7972fa0a2e
Stefan Leko,"6' 2""",215 lbs.,,Orthodox,"Jun 03, 1974",http://ufcstats.com/fighter-details/d56bb6dff2ae77eb
Gabe Lemley,"5' 8""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/fd4578cac86d75ca
Christophe Leninger,"6' 0""",200 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/7269329bd87eb479
Jean Francois Lenogue,"6' 0""",185 lbs.,,Orthodox,"Nov 29, 1972",http://ufcstats.com/fighter-details/e60201cfab7d656d
Alberta Cerra Leon,"5' 8""",238 lbs.,,,,http://ufcstats.com/fighter-details/6e02c318762f52f1
Anthony Leone,"5' 6""",135 lbs.,,Orthodox,"May 27, 1987",http://ufcstats.com/fighter-details/86b9b51a81e9c339
Chad Leonhardt,"6' 0""",170 lbs.,,,"Feb 19, 1980",http://ufcstats.com/fighter-details/657d0ed181f04215
Kimo Leopoldo,"6' 3""",235 lbs.,,Orthodox,"Jan 05, 1968",http://ufcstats.com/fighter-details/08ae5cd9aef7ddd3
Michael Lerma,,,,,,http://ufcstats.com/fighter-details/f1fd8ec1023c89b3
Lukasz Les,,170 lbs.,,,"Nov 05, 1981",http://ufcstats.com/fighter-details/5a8e30ed38a5bc6f
Frank Lester,"5' 11""",170 lbs.,,Orthodox,"Jun 10, 1984",http://ufcstats.com/fighter-details/edd8d5d8089a35f8
Justin Levens,"5' 11""",185 lbs.,,Orthodox,"Apr 18, 1980",http://ufcstats.com/fighter-details/8c3f3c43c8ceb778
David Levicki,"6' 5""",275 lbs.,,,,http://ufcstats.com/fighter-details/49590e0508b2c19f
Kyle Levinton,,,,,,http://ufcstats.com/fighter-details/81ddc98fceb30086
John Lewis,"6' 0""",155 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/4a01dc8376736ef5
Chi Lewis-Parry,"6' 9""",243 lbs.,,,"Aug 10, 1983",http://ufcstats.com/fighter-details/a307a10414d0ad00
Jess Liaudin,"5' 9""",170 lbs.,"72""",Orthodox,,http://ufcstats.com/fighter-details/a8aba6fd8a463043
Sam Liera,,,,,,http://ufcstats.com/fighter-details/421ccfc6ddb17958
Zach Light,"5' 8""",170 lbs.,,Orthodox,"Feb 06, 1974",http://ufcstats.com/fighter-details/5d7c18191b8aa432
Scott Lighty,"6' 2""",205 lbs.,,,"Oct 15, 1978",http://ufcstats.com/fighter-details/998c8890a8dde1eb
Chris Liguori,"5' 9""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/0e31bfd26cc8c503
Donnie Liles,"5' 9""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a1bf037613180253
Jae Suk Lim,"5' 9""",170 lbs.,,Orthodox,"Nov 09, 1979",http://ufcstats.com/fighter-details/bbb15f301e4a490a
Douglas Lima,"6' 1""",170 lbs.,,,"Jan 05, 1988",http://ufcstats.com/fighter-details/264111bf62662fbf
Mabelly Lima,"5' 2""",135 lbs.,,Orthodox,"Jan 25, 1994",http://ufcstats.com/fighter-details/6135fd9665fbb74e
Miguel Linares,,,,,,http://ufcstats.com/fighter-details/18c49685296c60e6
Jake Lindsey,"5' 11""",155 lbs.,,Switch,"Jun 21, 1986",http://ufcstats.com/fighter-details/33e00249ef08d3a4
Lucio Linhares,"6' 2""",185 lbs.,,Orthodox,"Dec 08, 1973",http://ufcstats.com/fighter-details/a780d16cf7eed44d
Wesley Little,"6' 4""",205 lbs.,,,,http://ufcstats.com/fighter-details/008c6e1a25751575
Abner Lloveras,"5' 11""",155 lbs.,,,"Sep 04, 1982",http://ufcstats.com/fighter-details/6448e57a9533b7e4
Brian Lo-A-Njoe,"5' 7""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/7abce81b72fbbd9b
John Lober,"5' 11""",199 lbs.,,Orthodox,"Feb 26, 1968",http://ufcstats.com/fighter-details/31652c9267606d54
Sean Loeffler,"6' 3""",185 lbs.,,Orthodox,"May 23, 1982",http://ufcstats.com/fighter-details/d3d1ff3f3dfa0931
Rocky Long,,145 lbs.,,,"Feb 18, 1978",http://ufcstats.com/fighter-details/10e04e5e81f391a0
Thomas Longacre,"5' 9""",145 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/989be26791d0aad4
Lucas Lopes,"6' 2""",185 lbs.,,,"Oct 05, 1979",http://ufcstats.com/fighter-details/1f70dd67ad507990
Dileno Lopes,"5' 5""",135 lbs.,,,"Sep 26, 1984",http://ufcstats.com/fighter-details/8270c00fae24c922
Ivan Lopez,"5' 6""",135 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/0db9d2486d564a3c
Steve Lopez,"5' 11""",155 lbs.,,Orthodox,"Jul 30, 1984",http://ufcstats.com/fighter-details/6085ceb59087514b
Federico Lopez,"5' 4""",139 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/9681e0ce67dc978b
Jorge Lopez,"5' 10""",170 lbs.,,Orthodox,"Nov 21, 1988",http://ufcstats.com/fighter-details/ee624ee2a18f2a43
Christopher Lopez,"5' 10""",170 lbs.,,,"Jan 30, 1986",http://ufcstats.com/fighter-details/5148a665aa527865
Nate Loughran,"6' 2""",185 lbs.,,Orthodox,"Jul 28, 1980",http://ufcstats.com/fighter-details/cbf94e4c4af4ff6d
Rashard Lovelace,,155 lbs.,,,,http://ufcstats.com/fighter-details/e601d71cf8e5be22
Ian Loveland,"5' 8""",145 lbs.,,Orthodox,"Sep 07, 1983",http://ufcstats.com/fighter-details/eea0274e153256a0
Jakob Lovstad,"6' 3""",205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/ad044be25c94dcfd
Waylon Lowe,"5' 7""",145 lbs.,,Southpaw,"Oct 31, 1980",http://ufcstats.com/fighter-details/28f62d866c59c709
Brandon Lowe,,155 lbs.,,,,http://ufcstats.com/fighter-details/78ac94d54aa7f378
Lu Zhengyong,,125 lbs.,,,,http://ufcstats.com/fighter-details/dc1bfd47c3b21ad3
Robert Lucarelli,"6' 2""",245 lbs.,,,,http://ufcstats.com/fighter-details/96087e90d900f0ef
Matt Lucas,"6' 1""",205 lbs.,,,,http://ufcstats.com/fighter-details/668222c99c5c311d
Cleber Luciano,"5' 6""",155 lbs.,,,,http://ufcstats.com/fighter-details/9bdebbf2735d14c2
Mike Lullo,"5' 8""",145 lbs.,,Orthodox,"Jul 24, 1979",http://ufcstats.com/fighter-details/e26882820f9e8df5
Alexandru Lungu,"6' 0""",385 lbs.,,Orthodox,"Sep 03, 1974",http://ufcstats.com/fighter-details/4887e5bc4dbb73ff
Thaddeus Luster,"6' 3""",210 lbs.,,,,http://ufcstats.com/fighter-details/505934897b8b4824
Stevie Lynch,"5' 10""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/710d93f1508f7104
Adam Lynn,"5' 10""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/edfe95e3c33a4bf8
Clayton MacFarlane,,170 lbs.,,,,http://ufcstats.com/fighter-details/39831e62d12e7ad1
Ilima Macfarlane,"5' 4""",125 lbs.,,,,http://ufcstats.com/fighter-details/8cf90e41646491fd
War Machine,"5' 11""",170 lbs.,,Orthodox,"Nov 30, 1981",http://ufcstats.com/fighter-details/cd7bafbeee1f29a0
Anthony Macias,"5' 9""",185 lbs.,,Switch,,http://ufcstats.com/fighter-details/dedc3bb440d09554
Ryan Madigan,"6' 0""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a8d521d913df4e31
Vinicius Magalhaes,,145 lbs.,,,"Jul 30, 1971",http://ufcstats.com/fighter-details/1b583c64c23f0c7f
Bernardo Magalhaes,"5' 9""",155 lbs.,,Orthodox,"Apr 08, 1981",http://ufcstats.com/fighter-details/7a613f78dd7ee8f8
Eric Magana,,,,,,http://ufcstats.com/fighter-details/8db1b36dde268ef6
Brandon Magana,,170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/2015c944226ad2df
Ibragim Magomedov,"6' 0""",250 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/e7e970d508529bf3
Lolohea Mahe,,,,,,http://ufcstats.com/fighter-details/fb0b6593cec84356
Michelle Maher,,145 lbs.,,,,http://ufcstats.com/fighter-details/118463dd8db16e7f
Bill Mahood,"6' 3""",200 lbs.,,Orthodox,"Feb 01, 1967",http://ufcstats.com/fighter-details/ae58685caf8e4a0d
Klayton Mai,"5' 9""",125 lbs.,,,"Nov 30, 1986",http://ufcstats.com/fighter-details/7a9c1bb08a743d7f
Roshan Mainam,,135 lbs.,,,,http://ufcstats.com/fighter-details/b301292b1bc92bdb
Aliev Makhmud,"5' 6""",195 lbs.,,Southpaw,"Feb 13, 1970",http://ufcstats.com/fighter-details/3d481aa374c954a1
Jeremy Malaterre,"5' 11""",155 lbs.,,,,http://ufcstats.com/fighter-details/110404b505fb562c
Marvin Maldonado,"5' 6""",135 lbs.,,,,http://ufcstats.com/fighter-details/e5ce754b01f922be
Nazareno Malegarie,"5' 8""",155 lbs.,,,"May 16, 1986",http://ufcstats.com/fighter-details/d38e8c6ae2dfc051
Carl Malenko,"5' 11""",200 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a314687f372b2cec
Dan Manasoiu,,,,,,http://ufcstats.com/fighter-details/eefc73b53d4a05d7
Troy Mandaloniz,"5' 9""",170 lbs.,,Orthodox,"Feb 01, 1980",http://ufcstats.com/fighter-details/725a834930c2b5bf
Michael Mangan,,155 lbs.,,,,http://ufcstats.com/fighter-details/9297ce6eee046f7a
Gary Mangat,"5' 7""",135 lbs.,,,,http://ufcstats.com/fighter-details/1c0ffc63d8ec8f45
Melvin Manhoef,"5' 9""",185 lbs.,,Orthodox,"May 11, 1976",http://ufcstats.com/fighter-details/e5767ed355a937c2
Melchor Manibusan,"5' 5""",154 lbs.,,Southpaw,"Dec 27, 1976",http://ufcstats.com/fighter-details/b6c6d1731ff00eeb
Jon Manley,"6' 1""",170 lbs.,,Orthodox,"Jul 07, 1986",http://ufcstats.com/fighter-details/a0602dd050bebefc
Steve Mann,"6' 1""",170 lbs.,,,,http://ufcstats.com/fighter-details/0eef1bf99afd4ff2
Chris Manuel,"5' 9""",135 lbs.,,Orthodox,"Jul 21, 1987",http://ufcstats.com/fighter-details/a23e63184c65f5b8
Jose Maria,"5' 5""",125 lbs.,,Orthodox,"Jan 04, 1982",http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3
Enrique Marin,"5' 10""",170 lbs.,,,"Sep 02, 1986",http://ufcstats.com/fighter-details/23a6e307077c6ccc
Cesar Marscucci,,,,,,http://ufcstats.com/fighter-details/e8efeb9cf33b1941
John Marsh,"6' 0""",265 lbs.,,Orthodox,"Sep 15, 1970",http://ufcstats.com/fighter-details/b6b12014698cc345
CJ Marsh,,,,,,http://ufcstats.com/fighter-details/4c91eb190d5e0dd9
Doug Marshall,"5' 10""",205 lbs.,,Orthodox,"Sep 09, 1975",http://ufcstats.com/fighter-details/0c1773639c795466
David Marshall,"6' 2""",170 lbs.,,,"Aug 24, 1984",http://ufcstats.com/fighter-details/0a2813f89a758ff7
Eric Martin,,,,,,http://ufcstats.com/fighter-details/abbc4fc02e0d84b3
Justin Martin,"6' 0""",185 lbs.,,,,http://ufcstats.com/fighter-details/3da19339ee7051d5
Dave Martin,"6' 0""",205 lbs.,,,,http://ufcstats.com/fighter-details/92c96df8bdab5fea
Joe Martin,"5' 9""",170 lbs.,,,,http://ufcstats.com/fighter-details/325550dab63fb25a
Michal Martinek,"6' 2""",230 lbs.,,Southpaw,"Apr 19, 1990",http://ufcstats.com/fighter-details/9acf42aebe9bb895
Rainy Martinez,"6' 0""",199 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/577ec7e108b94be3
Alonzo Martinez,"5' 10""",155 lbs.,,,"Apr 22, 1984",http://ufcstats.com/fighter-details/feffee4fc6da3aa3
Poppies Martinez,"5' 9""",145 lbs.,,,"Aug 19, 1983",http://ufcstats.com/fighter-details/8851bb0418d27d28
Andrew Martinez,"5' 9""",215 lbs.,,,,http://ufcstats.com/fighter-details/f8c2aba4815876b5
Wagner da Conceicao Martins,"6' 7""",390 lbs.,,Orthodox,"May 19, 1978",http://ufcstats.com/fighter-details/563d051c9e769b24
Max Martyniouk,,155 lbs.,,,,http://ufcstats.com/fighter-details/69d3fa376ff2595e
Shoji Maruyama,"5' 7""",139 lbs.,,Orthodox,"Apr 24, 1983",http://ufcstats.com/fighter-details/c046100aea0dba9a
Tateki Matsuda,"5' 7""",125 lbs.,,Orthodox,"Feb 27, 1986",http://ufcstats.com/fighter-details/3a524c6700addc24
Daijiro Matsui,"5' 9""",200 lbs.,,Orthodox,"Dec 05, 1972",http://ufcstats.com/fighter-details/cd42bbe8887bba90
Koichiro Matsumoto,"5' 7""",145 lbs.,,,"Mar 07, 1986",http://ufcstats.com/fighter-details/2fb6f197d1fbc779
Naoki Matsushita,"5' 6""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/990060b2a68a7b82
AJ Matthews,"5' 11""",185 lbs.,,,,http://ufcstats.com/fighter-details/18e4f61f16f458c6
Claudio Mattos,,185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/6e2b1d631832921d
John Matua,"6' 2""",400 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c933d423ebdbbbdb
Francesco Maturi,,,,,,http://ufcstats.com/fighter-details/d3b5ad3b15a64a18
Elaina Maxwell,"5' 8""",145 lbs.,,Orthodox,"Dec 16, 1978",http://ufcstats.com/fighter-details/a16ce18149021139
Jeremy May,"6' 1""",185 lbs.,,,"Oct 23, 1986",http://ufcstats.com/fighter-details/c32fdfe75cda5b22
Jack May,"6' 8""",255 lbs.,,Switch,"Apr 14, 1981",http://ufcstats.com/fighter-details/2c6e81426dd7573c
Brooke Mayo,"5' 7""",125 lbs.,,,,http://ufcstats.com/fighter-details/1b41c21d947d6f2f
Scott McAfee,"5' 8""",155 lbs.,,Orthodox,"Aug 23, 1983",http://ufcstats.com/fighter-details/7e7d81bf162a5ec1
Bobby McAndrews,,,,Orthodox,,http://ufcstats.com/fighter-details/ef6f45095119d416
Michael McBride,"6' 1""",155 lbs.,,Orthodox,"Mar 09, 1986",http://ufcstats.com/fighter-details/443f60bec7c3c3d5
Michael McDonald,"5' 11""",205 lbs.,,Orthodox,"Feb 06, 1965",http://ufcstats.com/fighter-details/d52ef694108f8235
Scott McDonald,,,,,,http://ufcstats.com/fighter-details/08ae3100bf2100ed
Josh McDonald,,185 lbs.,,,,http://ufcstats.com/fighter-details/b507a76087e3ed9f
Miles McDonald,"5' 7""",115 lbs.,,,"Aug 13, 1991",http://ufcstats.com/fighter-details/a3f8356ace5e3eb5
Justin McElfresh,"6' 6""",205 lbs.,,Orthodox,"Jan 04, 1980",http://ufcstats.com/fighter-details/49c29e57d4e2be6f
Liam McGeary,"6' 6""",205 lbs.,,,"Oct 04, 1982",http://ufcstats.com/fighter-details/e4e0993befecdaf8
Gan McGee,"6' 10""",265 lbs.,,Orthodox,"Nov 20, 1976",http://ufcstats.com/fighter-details/d90b630e0561818b
Ryan McGillivray,"5' 11""",170 lbs.,,,"Sep 27, 1986",http://ufcstats.com/fighter-details/1f9c371c93dfd3a9
Ryan McGivern,"6' 0""",185 lbs.,,Orthodox,"Jan 17, 1980",http://ufcstats.com/fighter-details/856ec65948b7d234
Jack McGlaughlin,,,,Orthodox,,http://ufcstats.com/fighter-details/237187ed9f419285
Greg McIntyre,"5' 10""",155 lbs.,,Orthodox,"Apr 21, 1980",http://ufcstats.com/fighter-details/00a905a4a4a2b071
Antonio McKee,"5' 8""",155 lbs.,,Southpaw,"Mar 12, 1970",http://ufcstats.com/fighter-details/3414b50b08a10600
AJ McKee,"5' 10""",145 lbs.,,,,http://ufcstats.com/fighter-details/f3ec0214794a699e
Brian McLaughlin,"5' 9""",155 lbs.,,,"May 12, 1984",http://ufcstats.com/fighter-details/6488729da7ac1c79
Jason McLean,"5' 5""",145 lbs.,,,,http://ufcstats.com/fighter-details/8336d7a85ce45481
Tommy McMillen,,145 lbs.,,,"Dec 15, 1997",http://ufcstats.com/fighter-details/6b0a6def604de298
Charles McTorry,,,,,,http://ufcstats.com/fighter-details/acd8a53f7c0ce85e
Daniel McWilliams,"6' 1""",185 lbs.,,,,http://ufcstats.com/fighter-details/7b03d9df5910917d
Anistavio Medeiros,"5' 6""",145 lbs.,,Orthodox,"May 01, 1988",http://ufcstats.com/fighter-details/2937cb502dda0808
Kaline Medeiros,"5' 3""",115 lbs.,,,,http://ufcstats.com/fighter-details/263af068bd986548
Todd Medina,"5' 10""",193 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/b60391da771deefe
Jason Medina,"5' 9""",180 lbs.,,,,http://ufcstats.com/fighter-details/f53fb9d9e57cc38e
Frank Megallon,"5' 10""",185 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/c0a93b52096b7682
Derrick Mehmen,"6' 4""",205 lbs.,,,"May 30, 1985",http://ufcstats.com/fighter-details/6c7dafd03b6cc3f8
Miika Mehmet,,205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/41dca66f9dadfc86
Bryce Mejia,"6' 1""",170 lbs.,,,,http://ufcstats.com/fighter-details/6eae26c44e505775
Brian Melancon,"5' 8""",170 lbs.,,Orthodox,"May 28, 1982",http://ufcstats.com/fighter-details/eee7dafac7d672b5
Brandon Melendez,"5' 11""",155 lbs.,,Southpaw,"Mar 24, 1983",http://ufcstats.com/fighter-details/2b06b6ad5db63348
Nair Melikyan,"5' 6""",155 lbs.,,,"Aug 08, 1997",http://ufcstats.com/fighter-details/64b8561624d3b15e
Marcelo Mello,"5' 7""",170 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/672ef06fd9f41f7d
Fabio Mello,"5' 5""",155 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/8a028648f3f0761d
Eddie Mendez,"5' 10""",185 lbs.,,,"Jan 16, 1984",http://ufcstats.com/fighter-details/49e49b54e5901d0d
Luis Mendoza,,155 lbs.,,,,http://ufcstats.com/fighter-details/28200bc87367614f
Dave Menne,"5' 10""",170 lbs.,,Orthodox,"Jul 29, 1974",http://ufcstats.com/fighter-details/275cafc9de131c83
Steve Mensing,"5' 11""",185 lbs.,,Orthodox,"Dec 06, 1977",http://ufcstats.com/fighter-details/3bc27ec15facbcf3
Buck Meredith,"6' 2""",185 lbs.,,,"May 17, 1982",http://ufcstats.com/fighter-details/36120738148f203f
Adam Meredith,"6' 2""",170 lbs.,,,,http://ufcstats.com/fighter-details/c1135a6892e916db
Nick Meregali,,,,,,http://ufcstats.com/fighter-details/2f6dc878d653c442
Joe Merritt,"6' 0""",170 lbs.,,Orthodox,"Mar 07, 1984",http://ufcstats.com/fighter-details/e82d5f54daa85a7e
Jeremiah Metcalf,"6' 1""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/5bdcbd8dd681a257
Jonathan Meunier,"6' 3""",170 lbs.,,Switch,"Aug 04, 1987",http://ufcstats.com/fighter-details/5823ceab56741617
Guy Mezger,"6' 1""",200 lbs.,,Orthodox,"Jan 01, 1968",http://ufcstats.com/fighter-details/946f341df6472ee0
Brandon Michaels,"5' 9""",185 lbs.,,,,http://ufcstats.com/fighter-details/f5e4ce11afbdfb61
David Michaud,"5' 9""",155 lbs.,,Orthodox,"Nov 10, 1988",http://ufcstats.com/fighter-details/49f4b511932f71e9
Chris Mickle,"5' 9""",145 lbs.,,Orthodox,"Jul 10, 1983",http://ufcstats.com/fighter-details/f903967fd320da38
Kristof Midoux,"6' 1""",220 lbs.,,Orthodox,"Jul 30, 1974",http://ufcstats.com/fighter-details/5b5b9c6f6f270369
Keith Mielke,"5' 8""",185 lbs.,,,,http://ufcstats.com/fighter-details/f62850b3c7480db9
Chris Mierzwiak,"6' 1""",185 lbs.,,,"Feb 14, 1988",http://ufcstats.com/fighter-details/2b284840ca89876a
Gabriel Miglioli,"5' 8""",170 lbs.,,,,http://ufcstats.com/fighter-details/a6fa5dd90528e9f7
Billy Miles,"5' 10""",170 lbs.,,Orthodox,"Apr 28, 1978",http://ufcstats.com/fighter-details/3c48019bc387b80c
Pat Miletich,"5' 10""",170 lbs.,,Orthodox,"Mar 09, 1968",http://ufcstats.com/fighter-details/cedfdf8d423d500c
Phillip Miller,"5' 11""",185 lbs.,,Orthodox,"Feb 20, 1979",http://ufcstats.com/fighter-details/18aecaf50f52e4c3
Jason Miller,"6' 1""",185 lbs.,,Orthodox,"Dec 24, 1980",http://ufcstats.com/fighter-details/b2f88c04c4dd43ce
Henry Miller,"5' 7""",270 lbs.,,Southpaw,"Jul 16, 1969",http://ufcstats.com/fighter-details/45a2ba3ef82b9700
Micah Miller,"6' 0""",145 lbs.,,Orthodox,"Feb 14, 1987",http://ufcstats.com/fighter-details/3ff0d0dc7a14bb50
Aaron Miller,"5' 9""",145 lbs.,,,,http://ufcstats.com/fighter-details/a4d055f1435d6d75
Eddy Millis,"6' 1""",185 lbs.,,,,http://ufcstats.com/fighter-details/f2c934689243fe4e
Vitaly Minakov,"6' 2""",249 lbs.,,,"Feb 06, 1985",http://ufcstats.com/fighter-details/56c975c4a2b357a5
Mike Minniger,,,,,,http://ufcstats.com/fighter-details/c8aa3541bec4042e
Ikuhisa Minowa,"5' 9""",181 lbs.,,Orthodox,"Jan 12, 1976",http://ufcstats.com/fighter-details/ce6065baef021cf3
Juan Miranda,,155 lbs.,,,,http://ufcstats.com/fighter-details/be8ad887e4d674b0
Damir Mirenic,"6' 0""",185 lbs.,,Orthodox,"Aug 02, 1974",http://ufcstats.com/fighter-details/992c82450d96f726
Kazuo Misaki,"5' 8""",183 lbs.,,Orthodox,"Apr 25, 1976",http://ufcstats.com/fighter-details/5e7a28f20927d64a
Toby Misech,"5' 8""",145 lbs.,,Southpaw,"Mar 07, 1988",http://ufcstats.com/fighter-details/3f87218a7aca84c4
Dokonjonosuke Mishima,"5' 7""",155 lbs.,,Southpaw,"Apr 19, 1972",http://ufcstats.com/fighter-details/b14a68c533f4a4aa
Felix Lee Mitchell,,,,Orthodox,,http://ufcstats.com/fighter-details/6cbb7661c3258617
Danny Mitchell,"6' 2""",170 lbs.,,Orthodox,"Aug 08, 1986",http://ufcstats.com/fighter-details/c06d554ce1713fd3
Brad Mitchell,"5' 11""",145 lbs.,,,"Oct 10, 1974",http://ufcstats.com/fighter-details/7263e0dc082adc87
Clay Mitchell,"6' 2""",185 lbs.,,,,http://ufcstats.com/fighter-details/3d960455f880bb25
Maurice Mitchell,"5' 9""",145 lbs.,,Orthodox,"Jun 29, 1987",http://ufcstats.com/fighter-details/568bebed6366b667
Roman Mitichyan,"5' 10""",170 lbs.,,Orthodox,"Sep 04, 1978",http://ufcstats.com/fighter-details/2961be02cfb0d2c1
Eiji Mitsuoka,"5' 7""",145 lbs.,,Southpaw,"Jan 01, 1976",http://ufcstats.com/fighter-details/2b4faacc16d66898
JonathanMix,"6' 0""",168 lbs.,,,"Nov 09, 1980",http://ufcstats.com/fighter-details/f64e4ecd214c6378
Tomoya Miyashita,"5' 7""",139 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/c9885b1b7c7055a0
Kazuyuki Miyata,"5' 8""",139 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/af70d268e5352186
Motoki Miyazawa,"5' 11""",168 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/9649d75defe0dedb
Tatsuya Mizuno,"6' 1""",205 lbs.,,Southpaw,"Jun 02, 1981",http://ufcstats.com/fighter-details/478c8706bdb92440
Bronson Mohika,,135 lbs.,,,,http://ufcstats.com/fighter-details/65239fccecd03404
Dan Molina,"5' 10""",216 lbs.,,,"Jun 14, 1984",http://ufcstats.com/fighter-details/606136dee6f6ecea
Rudyard Moncayo,"5' 10""",195 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/02d276b7d62b3472
Hidetaka Monma,"6' 0""",168 lbs.,,Orthodox,"Oct 23, 1973",http://ufcstats.com/fighter-details/a8e133139286df84
Andrew Montanez,,185 lbs.,,,,http://ufcstats.com/fighter-details/72c9c2eadfc3277e
Steve Montgomery,"6' 4""",185 lbs.,,Southpaw,"Dec 19, 1990",http://ufcstats.com/fighter-details/6e92eb1242b46636
Homer Moore,"5' 10""",205 lbs.,,Orthodox,"Nov 27, 1971",http://ufcstats.com/fighter-details/e56df3c1d8b4b1cc
Nate Moore,"6' 0""",170 lbs.,,,,http://ufcstats.com/fighter-details/518e5202a91980d4
Dustin Moore,"5' 4""",125 lbs.,,,,http://ufcstats.com/fighter-details/831de97afe326478
Ricardo Morais,"6' 8""",270 lbs.,,Orthodox,"Feb 26, 1967",http://ufcstats.com/fighter-details/2dc7f1762dc0a7ef
Leonardo Morales,"5' 8""",135 lbs.,,Southpaw,"Dec 22, 1992",http://ufcstats.com/fighter-details/45230be0641f3f53
Joe Moreira,"5' 11""",195 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/df85d6ec3493d120
Richardson Moreira,"6' 2""",185 lbs.,,Orthodox,"Mar 31, 1984",http://ufcstats.com/fighter-details/9147679e1a4ad4a3
Gisele Moreira,"5' 6""",135 lbs.,,Orthodox,"Jan 14, 1981",http://ufcstats.com/fighter-details/6a125ba3ec37e27e
Jesse Moreng,"5' 7""",145 lbs.,,Orthodox,"Nov 09, 1979",http://ufcstats.com/fighter-details/2e2cdb6e9eb84bb9
Mike Moreno,"6' 0""",185 lbs.,,,,http://ufcstats.com/fighter-details/bb2eee4fb3259c01
Sammy Morgan,"5' 10""",170 lbs.,,Orthodox,"Sep 28, 1981",http://ufcstats.com/fighter-details/2067a177a2842fbf
Peggy Morgan,"6' 1""",135 lbs.,,,"Dec 16, 1979",http://ufcstats.com/fighter-details/92b36014314b028b
